Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Budowlana,Budget ($),29 km,2026-02-13,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),1 km,2026-02-13,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),30 km,2026-02-15,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),3 km,2026-02-04,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),2 km,2026-02-07,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),19 km,2026-01-25,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),21 km,2026-03-10,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),1 km,2026-02-26,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),25 km,2026-01-22,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),14 km,2026-01-24,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),15 km,2026-01-31,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),25 km,2026-02-02,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),25 km,2026-02-28,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),14 km,2026-01-17,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),12 km,2026-01-20,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),26 km,2026-02-12,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),1 km,2026-02-04,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Standard ($$),16 km,2026-01-31,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),1 km,2026-01-29,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),15 km,2026-01-11,Mycie okien w całym domu,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),1 km,2026-02-12,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Standard ($$),10 km,2026-02-24,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),25 km,2026-01-27,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),24 km,2026-01-22,Grabienie liści,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),9 km,2026-03-06,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),27 km,2026-01-22,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),21 km,2026-03-05,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),16 km,2026-02-02,Podłączenie pralki,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),21 km,2026-02-20,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),22 km,2026-03-08,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),25 km,2026-02-22,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),19 km,2026-01-26,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Budget ($),20 km,2026-01-28,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),12 km,2026-01-12,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),20 km,2026-03-11,Podłączenie pralki,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),21 km,2026-02-23,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),23 km,2026-02-19,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),1 km,2026-02-26,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),19 km,2026-01-14,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Premium ($$$),21 km,2026-01-21,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),14 km,2026-02-11,Transport materiałów budowlanych,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Premium ($$$),13 km,2026-02-26,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),15 km,2026-02-15,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),4 km,2026-02-28,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),14 km,2026-01-24,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),30 km,2026-01-27,Wypełnienie światłoutwardzalne,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),21 km,2026-02-26,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),28 km,2026-02-27,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Standard ($$),14 km,2026-03-08,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),17 km,2026-02-17,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Budget ($),1 km,2026-01-16,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),5 km,2026-02-25,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Budget ($),16 km,2026-01-23,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),21 km,2026-02-11,Flowerbox na urodziny,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),7 km,2026-03-06,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Dentystyczna,Standard ($$),17 km,2026-02-02,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),21 km,2026-02-09,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),15 km,2026-01-28,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),21 km,2026-02-05,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),11 km,2026-02-16,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),15 km,2026-02-18,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),18 km,2026-02-08,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),21 km,2026-01-24,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),16 km,2026-02-28,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),8 km,2026-02-12,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),15 km,2026-02-12,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),3 km,2026-02-19,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),6 km,2026-02-06,Wywóz starych mebli,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Premium ($$$),13 km,2026-01-31,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),14 km,2026-02-09,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),17 km,2026-01-12,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),29 km,2026-02-22,Wymiana żarówek w witrynie sklepowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),25 km,2026-01-11,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Premium ($$$),10 km,2026-02-01,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),27 km,2026-02-14,Wiązanka okolicznościowa,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),4 km,2026-02-16,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),7 km,2026-01-20,Nasadzenia drzewek owocowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),15 km,2026-02-07,Montaż systemu nawadniania,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),13 km,2026-02-17,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),15 km,2026-02-15,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),23 km,2026-02-04,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),16 km,2026-01-15,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Standard ($$),30 km,2026-02-25,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),2 km,2026-03-03,Regularne sprzątanie biura,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),26 km,2026-03-09,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),14 km,2026-02-20,Wiązanka okolicznościowa,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),11 km,2026-02-10,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),30 km,2026-02-17,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),5 km,2026-02-10,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),8 km,2026-02-23,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),27 km,2026-02-21,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),12 km,2026-03-03,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),7 km,2026-02-28,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),5 km,2026-01-28,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Standard ($$),23 km,2026-03-03,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),11 km,2026-03-05,Wymiana licznika wody,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),12 km,2026-03-02,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Premium ($$$),6 km,2026-03-06,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),4 km,2026-01-24,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),2 km,2026-02-26,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Premium ($$$),30 km,2026-02-02,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),27 km,2026-02-03,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),28 km,2026-01-22,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),24 km,2026-02-20,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),19 km,2026-02-27,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Budget ($),1 km,2026-02-04,Wiązanka okolicznościowa,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),8 km,2026-01-11,Wybielanie zębów,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),28 km,2026-01-21,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),30 km,2026-02-02,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),13 km,2026-02-17,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),18 km,2026-02-23,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),5 km,2026-02-18,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),21 km,2026-02-10,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),25 km,2026-01-15,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),21 km,2026-02-26,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),27 km,2026-01-18,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),7 km,2026-01-24,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),30 km,2026-01-20,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),17 km,2026-02-12,Mycie okien w całym domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),6 km,2026-02-10,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),23 km,2026-01-18,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),7 km,2026-01-29,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),21 km,2026-02-06,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),13 km,2026-01-24,Sezonowa wymiana opon,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),21 km,2026-02-04,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),27 km,2026-02-15,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),10 km,2026-02-21,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Budget ($),24 km,2026-02-20,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),25 km,2026-02-21,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),5 km,2026-02-12,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Budget ($),9 km,2026-02-09,Sezonowa wymiana opon,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),24 km,2026-02-14,Montaż kabiny prysznicowej,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),27 km,2026-01-14,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),16 km,2026-01-17,Przycinanie żywopłotu,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),23 km,2026-02-24,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),24 km,2026-02-06,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),9 km,2026-01-11,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),28 km,2026-03-09,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),24 km,2026-01-22,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),2 km,2026-02-11,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),19 km,2026-01-22,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),25 km,2026-01-27,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),21 km,2026-01-30,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),7 km,2026-01-15,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),20 km,2026-01-25,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),17 km,2026-01-23,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),15 km,2026-03-10,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),10 km,2026-02-07,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),24 km,2026-01-27,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),10 km,2026-01-27,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),16 km,2026-02-22,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),12 km,2026-02-26,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),27 km,2026-01-30,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),10 km,2026-02-03,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),10 km,2026-02-18,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),7 km,2026-02-13,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),9 km,2026-01-11,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
